NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
Interlude Spa,Personal care service,no,yes,7,0,1
Interlude Spa,Personal care service,no,yes,7,0,1
Into the Mystic Folklore,Small retail,no,yes,2,0,1
Intrinsic Salon & Spa,Personal care service,yes,yes,7,1,1
Inverary Resort,Restaurant with onsite dining,yes,yes,4,1,1
Inverness Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Inverno's Esthetics,Personal care service,yes,no,7,1,0
Irie Vibes Bar & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Irishtown Barber Shop,Personal care service,yes,yes,7,1,1
Iron Mountain Wilderness Cabins,Drinking establishment,yes,yes,1,1,1
Iron Salon,Personal care service,yes,yes,7,1,1
IronMatrix,Fitness establishment,yes,yes,0,1,1
Ironstone Strength,Fitness establishment,yes,yes,0,1,1
Ironworks Distillery,Drinking establishment,no,yes,1,0,1
Island Chiropractic & Family Wellness,Self-regulated health professional,yes,yes,6,1,1
Island Cresting Limited,Small retail,no,yes,2,0,1
Island Eyecare,Self-regulated health professional,yes,yes,6,1,1
Island Sunset Resort & Seaside Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Isle Madame iFit Centre,Fitness establishment,yes,yes,0,1,1
It's a Ruff Life K9 Services,Small retail,no,yes,2,0,1
Ivy Salon,Personal care service,yes,yes,7,1,1
Izzy's Bagel Co,Restaurant with onsite dining,yes,yes,4,1,1
Jacob's Lounge,Restaurant with onsite dining,yes,yes,4,1,1
Jac's Burgers and Shakes,Restaurant with onsite dining,no,yes,4,0,1
J'adore Nails Salon and Spa,Personal care service,yes,yes,7,1,1
Jagger's Piercing Studio,Personal care service,yes,yes,7,1,1
Jake's Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Jamaica Vibes Restaurant and Lounge,Restaurant with onsite dining,yes,yes,4,1,1
Jamco. Entertainment Design,"Live, performing arts for audience",yes,yes,3,1,1
Jamieson's Irish Pub,Drinking establishment,yes,yes,1,1,1
Jane's Next Door,Restaurant with onsite dining,yes,yes,4,1,1
Japan Camera & Photography,Small retail,no,yes,2,0,1
JAS Salon,Personal care service,yes,yes,7,1,1
Jaspr Massage Therapy,Self-regulated health professional,yes,yes,6,1,1
Jay's Chicken and Ribs,Restaurant with onsite dining,yes,yes,4,1,1
Jazz Lash,Personal care service,yes,yes,7,1,1
JB's Steak and Seafood,Restaurant with onsite dining,yes,yes,4,1,1
Jean's Chinese,Restaurant with onsite dining,yes,yes,4,1,1
Jenan's Syrian Kitchen,Restaurant with onsite dining,yes,no,4,1,0
Jennifer's Esthetics,Personal care service,no,yes,7,0,1
Jenny's Nail Studio,Personal care service,yes,yes,7,1,1
Jenny's Place,Restaurant with onsite dining,yes,yes,4,1,1
Jessie's Cutting Remarks,Personal care service,no,yes,7,0,1
Jessy's Pizza,Restaurant with onsite dining,yes,no,4,1,0
Jia Yuan Foods,Restaurant with onsite dining,no,yes,4,0,1
Jillian's House of Hair,Personal care service,no,yes,7,0,1
Jimolly's Bakery Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Jim's Barbershop,Personal care service,yes,yes,7,1,1
Jim's Taekwon Do,Fitness establishment,yes,yes,0,1,1
Jinloong Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
JJ's Plant Based Eats,Restaurant with onsite dining,yes,yes,4,1,1
Jo-Anne's Quick & Tasty,Restaurant with onsite dining,yes,yes,4,1,1
Joe E Cheesy's Snack Shack,Restaurant with onsite dining,yes,yes,4,1,1
Joe's Emporium,Restaurant with onsite dining,yes,yes,4,1,1
Johnny K's Authentic Donairs,Restaurant with onsite dining,yes,yes,4,1,1
John's Lunch,Restaurant with onsite dining,yes,yes,4,1,1
Joint Effort Health,Self-regulated health professional,yes,yes,6,1,1
Jones Gym,Fitness establishment,yes,yes,0,1,1
Jonny's Cookhouse,Restaurant with onsite dining,yes,yes,4,1,1
Josie's Place Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Jost Vineyards,Drinking establishment,no,yes,1,0,1
Joyful Sounds Music Studio,"Live, performing arts for audience",no,yes,3,0,1
Joyful Yoga Studio,Fitness establishment,yes,no,0,1,0
Judy's Sewing Shop,Personal care service,no,yes,7,0,1
Jukai Japanese & Thai,Restaurant with onsite dining,yes,yes,4,1,1
Julep Kitchen & Cocktails,Restaurant with onsite dining,yes,yes,4,1,1
Julien's Pastry Shop,Restaurant with onsite dining,yes,yes,4,1,1
Jungle Jims,Restaurant with onsite dining,yes,no,4,1,0
Jungle Jim's,Restaurant with onsite dining,yes,yes,4,1,1
Jungle Jim's Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Junior Achievement of Nova Scotia,Charity,yes,yes,7,1,1
Juniper Food + Wine,Restaurant with onsite dining,yes,yes,4,1,1
Just Beachy Tanning Lounge,Personal care service,yes,yes,7,1,1
Just Breathe Clothing & Shoes,Small retail,no,yes,2,0,1
Just In Thyme Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
JustReal Fitness,Fitness establishment,yes,yes,0,1,1
JVK Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
K & L Casting,Self-regulated health professional,yes,no,6,1,0
Kachan Physiotherpay Inc.,Self-regulated health professional,yes,yes,6,1,1
Kajohn Thai Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Kam-Moon Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Kanpai Izakaya,Restaurant with onsite dining,yes,yes,4,1,1
Kao Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Kara's Urban Day Spa,Personal care service,yes,yes,7,1,1
Katch,Restaurant with onsite dining,yes,yes,4,1,1
Katch Seafood,Restaurant with onsite dining,yes,yes,4,1,1
Katch Seafood,Restaurant with onsite dining,no,yes,4,0,1
Katch Seafood and The Fickle Frog Pub,Restaurant with onsite dining,yes,yes,4,1,1
Kathy's Shoes,Small retail,no,yes,2,0,1
Kaylas Pizza and Grill,Restaurant with onsite dining,yes,yes,4,1,1
Kay's Kozy Korner,Restaurant with onsite dining,yes,yes,4,1,1
KB Hair,Personal care service,yes,yes,7,1,1
KBD,Personal care service,yes,yes,7,1,1
Kee Heong Cantonese Bakery,Restaurant with onsite dining,yes,yes,4,1,1
Keliza Healthy Living,Small retail,no,yes,2,0,1
Kellocks Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Kelly's Deli,Restaurant with onsite dining,yes,no,4,1,0
Kell'z Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Kentville Chiropractic,Self-regulated health professional,yes,no,6,1,0
Kentville Lions Club,"Live, performing arts for audience",no,yes,3,0,1
KEY Physiotherapy & Rehabilitation Centre,Self-regulated health professional,yes,yes,6,1,1
Keystone Health & Wellness,Self-regulated health professional,yes,yes,6,1,1
Killoran Holdings,Self-regulated health professional,yes,yes,6,1,1
Kimberlea Aesthetics,Personal care service,yes,no,7,1,0
Kin Crew Music,"Live, performing arts for audience",yes,yes,3,1,1
Kindred Spirits Hair Salon,Personal care service,yes,yes,7,1,1
Kinesis Health Associates,Self-regulated health professional,yes,yes,6,1,1
Kinetesis Spine & Joint Clinic,Self-regulated health professional,yes,yes,6,1,1
Kin-Excel,Fitness establishment,yes,yes,0,1,1
KinFix Health,Self-regulated health professional,yes,no,6,1,0
King Bo Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
King Feng Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
King Fortune Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
King Lam Restaurant,Restaurant with onsite dining,yes,no,4,1,0
King Street Beer Co.,Drinking establishment,yes,yes,1,1,1
Kings Arms Commons Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Kings Arms Pub,Restaurant with onsite dining,yes,yes,4,1,1
King's Galley,Restaurant with onsite dining,yes,yes,4,1,1
King's Krown,Personal care service,yes,no,7,1,0
Kings Point to Point,Charity,yes,yes,7,1,1
King's Theatre Society,Charity,yes,yes,7,1,1
Kingsport Osteopathic Clinic,Self-regulated health professional,yes,yes,6,1,1
Kingswood Chiropractic Health Centre,Self-regulated health professional,yes,yes,6,1,1
Kitchen 1409,Restaurant with onsite dining,yes,yes,4,1,1
Kitchen Party Catering,Drinking establishment,yes,yes,1,1,1
Kitsune Food Co.,Restaurant with onsite dining,yes,yes,4,1,1
Kizuna Japanese Fine Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
KL Esthetics,Personal care service,yes,yes,7,1,1
Kooklas Aesthetics,Personal care service,yes,yes,7,1,1
Kool T's,Small retail,no,yes,2,0,1
KorBQ Korean Grill,Restaurant with onsite dining,yes,yes,4,1,1
Korea Garden,Restaurant with onsite dining,yes,yes,4,1,1
Korri's Hair Studio,Personal care service,yes,yes,7,1,1
KO's,Restaurant with onsite dining,yes,yes,4,1,1
Kosmetikos Salon & Spa,Personal care service,yes,yes,7,1,1
Krave,Restaurant with onsite dining,yes,yes,4,1,1
Kreative Knits,Small retail,no,yes,2,0,1
Kush's Quality Cuts Barbershop,Personal care service,yes,yes,7,1,1
KYO By Way-2-Roll Kitchen & Bar,Restaurant with onsite dining,yes,yes,4,1,1
L A Hair Design,Personal care service,yes,yes,7,1,1
LA & A Nails,Personal care service,yes,yes,7,1,1
La Cucina Cafe Pizzeria and Spaghetti House,Restaurant with onsite dining,yes,yes,4,1,1
La Frasca Cibi & Vini Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
La Goelette a Pepe Cafe,Restaurant with onsite dining,yes,no,4,1,0
La Piazza,Restaurant with onsite dining,yes,yes,4,1,1
La Pointe Seafoods,Restaurant with onsite dining,yes,yes,4,1,1
La Quaintrelle,Small retail,no,yes,2,0,1
La Rouge Hair Studio,Personal care service,yes,yes,7,1,1
La Shoppe Verte,Restaurant with onsite dining,yes,yes,4,1,1
La Tchuisine,Restaurant with onsite dining,yes,yes,4,1,1
La Tuche Hair Studio,Personal care service,yes,yes,7,1,1
"L'abri cafe, restaurant et bar",Restaurant with onsite dining,yes,yes,4,1,1
L'Acadie Vineyards,Drinking establishment,yes,yes,1,1,1
Lahara Yoga & Wellness,Fitness establishment,yes,yes,0,1,1
LaHave Denture Clinic,Self-regulated health professional,yes,yes,6,1,1
LaHave River Books,Small retail,no,yes,2,0,1
LaHave River Chiropractic and Health Centre,Self-regulated health professional,yes,yes,6,1,1
Lake & Shore Community Rec Centre,Fitness establishment,no,yes,0,0,1
Lake Paul & Lake George Community Club,"Live, performing arts for audience",yes,no,3,1,0
Lakehouse Salon And Wellness Center,Personal care service,yes,yes,7,1,1
Lakeshear Studio,Personal care service,yes,yes,7,1,1
Lamont Esthetics,Personal care service,no,yes,7,0,1
Lane's Privateer Inn,Restaurant with onsite dining,yes,yes,4,1,1
Lang Optometry & Eyewear,Self-regulated health professional,yes,yes,6,1,1
Langille's Tae Kwon Do,Fitness establishment,yes,yes,0,1,1
Lanire Holdings,Personal care service,yes,yes,7,1,1
LAS,Restaurant with onsite dining,yes,yes,4,1,1
Laser Hair Professionals,Personal care service,yes,yes,7,1,1
Lash + Brows,Personal care service,yes,yes,7,1,1
L'Ash Galore,Personal care service,no,yes,7,0,1
Lash Lovers,Personal care service,yes,yes,7,1,1
Lash Perfect,Personal care service,yes,yes,7,1,1
Lash Twins,Personal care service,yes,yes,7,1,1
Lashes,Personal care service,yes,yes,7,1,1
Lashes So Fresh,Personal care service,yes,yes,7,1,1
Lavender Esthetics,Personal care service,yes,yes,7,1,1
Lawley's Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Lawrencetown Beach Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Lawrencetown Community Centre,"Live, performing arts for audience",no,yes,3,0,1
Lazy Bear Brewing,Drinking establishment,yes,yes,1,1,1
Lazy Brook Hearing Centre,Self-regulated health professional,yes,yes,6,1,1
Le Bistro By Liz,Restaurant with onsite dining,yes,no,4,1,0
Le Club Acadien,Restaurant with onsite dining,no,yes,4,0,1
Le Cuisine Robicheau,Restaurant with onsite dining,yes,yes,4,1,1
Le French Fix Patisserie,Restaurant with onsite dining,no,yes,4,0,1
Le Gabriel Restaurant & Lounge,Restaurant with onsite dining,yes,yes,4,1,1
Le Pain d'la Baie,Restaurant with onsite dining,yes,yes,4,1,1
Le Transport de Clare Society,Charity,yes,yes,7,1,1
Le Verve MediSpa,Personal care service,yes,yes,7,1,1
Leaf Music,"Live, performing arts for audience",yes,yes,3,1,1
Lean On Me Assisted Living Services,Personal care service,yes,yes,7,1,1
Lebanese Flower Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Lee Da. Co,Restaurant with onsite dining,yes,no,4,1,0
Lee's Nails,Personal care service,yes,yes,7,1,1
Lefty's Restaurant & Lounge,Restaurant with onsite dining,yes,yes,4,1,1
Lemon Tree Home Style Food,Restaurant with onsite dining,yes,no,4,1,0
Leonidas,Restaurant with onsite dining,no,yes,4,0,1
Les Productions Grand Derangement,"Live, performing arts for audience",yes,yes,3,1,1
Let's Print It,Small retail,no,yes,2,0,1
Lick a Treat Limited,Small retail,no,yes,2,0,1
Life Salon Spa,Personal care service,yes,yes,7,1,1
Life Salon Spa,Personal care service,yes,yes,7,1,1
Life Salon Spa,Personal care service,yes,yes,7,1,1
LifeCentre Psychology,Self-regulated health professional,yes,yes,6,1,1
Light Touch Laser,Personal care service,yes,yes,7,1,1
Lightfoot & Wolfville Vineyards,Drinking establishment,yes,yes,1,1,1
Lilieth Boutique,Small retail,no,yes,2,0,1
Lillian's Tailor Shop Limited,Small retail,no,yes,2,0,1
Lily Pad Cat Lounge,Small retail,no,yes,2,0,1
Lin Garden,Restaurant with onsite dining,yes,yes,4,1,1
Lincoln Street Food,Restaurant with onsite dining,no,yes,4,0,1
Linens for Life,Small retail,no,yes,2,0,1
LinMac Hair Design,Personal care service,yes,yes,7,1,1
Lion's Head Tavern,Restaurant with onsite dining,yes,yes,4,1,1
Lisa's Holistic Rehab OT & Neurofeedback,Self-regulated health professional,yes,yes,6,1,1
Little Bliss Esthetics,Personal care service,yes,yes,7,1,1
Little Christo's,Restaurant with onsite dining,yes,yes,4,1,1
Little Eden Cafe and Bakery,Restaurant with onsite dining,yes,yes,4,1,1
Little Foot Yurts Inc.,"Live, performing arts for audience",no,yes,3,0,1
Little House Esthetics and Electrolysis,Personal care service,yes,no,7,1,0
Little Mars Cosmetics,Small retail,no,yes,2,0,1
Little Oak Wine Bar,Drinking establishment,yes,yes,1,1,1
Little Princess Parties,"Live, performing arts for audience",yes,yes,3,1,1
Little Tiny Records,"Live, performing arts for audience",yes,no,3,1,0
Live Art Dance,"Live, performing arts for audience",yes,no,3,1,0
Live Blue Consulting,Self-regulated health professional,no,yes,6,0,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,no,3,1,0
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",no,yes,3,0,1
"Live, performing arts for audience","Live, performing arts for audience",yes,no,3,1,0
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
"Live, performing arts for audience","Live, performing arts for audience",yes,yes,3,1,1
Liverpool Adventure Outfitters,Small retail,no,yes,2,0,1
Liverpool Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Liverpool Pizzeria & Lounge,Restaurant with onsite dining,no,yes,4,0,1
LL Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Local Jo Caf̩ & Market,Restaurant with onsite dining,yes,yes,4,1,1
Locally Baked Outlet,Restaurant with onsite dining,yes,yes,4,1,1
Locker Room Health & Fitness Club,Fitness establishment,yes,yes,0,1,1
Lockhart's Casuals & Workwear,Small retail,no,yes,2,0,1
Locks & Lashes Beauty Salon,Personal care service,yes,no,7,1,0
Loeb DJ Service,"Live, performing arts for audience",yes,yes,3,1,1
Lola's Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Lola's Landing,Small retail,no,yes,2,0,1
Long Dragon Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Look Ho Ho Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
"Lost Realms Games, Collectibles, Comics and Escape Rooms",Restaurant with onsite dining,yes,yes,4,1,1
Lot Six Bar & Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Lotus Garden Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Lotus Integrative Health,Personal care service,yes,yes,7,1,1
Louann's Cafe,Restaurant with onsite dining,yes,no,4,1,0
Louis Tailor Shop,Small retail,no,yes,2,0,1
Love Eat Asian Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
LP Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Luckett Farms,Drinking establishment,yes,yes,1,1,1
Lucky Cat Barbershop,Personal care service,yes,yes,7,1,1
Lucky Italiano,Restaurant with onsite dining,yes,yes,4,1,1
Lucky Penny Coffee Co.,Restaurant with onsite dining,yes,yes,4,1,1
Lucy's Esthetics,Personal care service,yes,yes,7,1,1
Lulu Lounge & Brow Bar,Personal care service,yes,yes,7,1,1
Lumino Health,Self-regulated health professional,yes,yes,6,1,1
Luminous Nails,Personal care service,yes,yes,7,1,1
Luna Salon Spa and Boutique,Personal care service,yes,yes,7,1,1
Luneburg Folk Harbour Society,"Live, performing arts for audience",yes,no,3,1,0
Lunenburg Arms Hotel and Spa,Restaurant with onsite dining,yes,yes,4,1,1
Lunenburg Community Consignment,Small retail,no,yes,2,0,1
Lunenburg County Fitness Center,Fitness establishment,no,yes,0,0,1
Lunn's Mill Beer Co.,Drinking establishment,yes,yes,1,1,1
Luxury Hair Halifax,Personal care service,no,yes,7,0,1
M K Hair and Esthetics,Personal care service,yes,yes,7,1,1
M&J's Catering and Eatery,Restaurant with onsite dining,yes,yes,4,1,1
M2 Hair Studio,Personal care service,yes,yes,7,1,1
Mabata,Restaurant with onsite dining,yes,yes,4,1,1
Mabou River Inn,Restaurant with onsite dining,yes,yes,4,1,1
Mabou Village Beauty Salon,Personal care service,yes,yes,7,1,1
MacKenzie Taekwon-Do,Fitness establishment,yes,yes,0,1,1
MacLeod Optical & Vision Centre,Self-regulated health professional,no,yes,6,0,1
MacLeod's Denture Clinic,Self-regulated health professional,no,yes,6,0,1
Madden Optometry,Self-regulated health professional,yes,yes,6,1,1
"Magic Moments Nails, Eyelashes and Spa",Personal care service,yes,yes,7,1,1
Magnetsigns Cape Breton,Small retail,no,yes,2,0,1
